reward,length,success,collision,travel_time,min_ttc,unsafe_ttc_events,safety_interventions
-7.296732806879772,31,False,True,6.2,0.8050968187678047,11,0
9.065000000000001,47,True,False,9.4,0.508409371793972,14,0
8.997639577007515,48,True,False,9.6,0.7198302115850453,13,0
9.02,46,True,False,9.2,0.5234440505400106,16,0
8.794999999999998,41,True,False,8.2,0.5084752473687144,21,0
8.84,42,True,False,8.4,0.5542193792491791,18,0
8.661210375845014,48,True,False,9.6,0.4941512358671241,24,0
-9.00059042873505,20,False,True,4.0,0.6573437210914499,9,0
-8.109899770231122,23,False,True,4.6,0.38140366198896153,9,0
9.020000000000001,46,True,False,9.2,0.8761064083031596,18,0
-8.235759709286695,30,False,True,6.0,0.5654366563068282,14,0
8.952640837674743,47,True,False,9.4,1.0958086976199253,13,0
-7.742239112412717,27,False,True,5.4,0.5737160123704592,9,0
-7.635674901227597,28,False,True,5.6,0.35552818326826713,10,0
8.752522599745483,45,True,False,9.0,0.5490158627817077,26,0
8.885,43,True,False,8.6,0.5816934550991498,19,0
8.84,42,True,False,8.4,0.48468619187724277,13,0
8.930000000000001,44,True,False,8.8,0.5621512022946291,22,0
-7.834755469900131,28,False,True,5.6,0.7296809553858675,12,0
8.795000000000002,41,True,False,8.2,0.5291109913247904,17,0
8.997895332350943,48,True,False,9.6,0.808559561917432,16,0
-7.441436883102835,29,False,True,5.8,0.4737362301121696,10,0
8.974999999999998,45,True,False,9.0,0.5691101155460156,16,0
-7.944599559844876,22,False,True,4.4,0.5590436984571523,9,0
8.885,43,True,False,8.6,0.9949041209152818,6,0
-8.15244277231053,20,False,True,4.0,0.38314524094635166,9,0
-8.314694734201206,20,False,True,4.0,0.5712287314093148,8,0
9.02,46,True,False,9.2,0.5150293314178737,21,0
9.065000000000001,47,True,False,9.4,0.8098496186343064,12,0
-7.571437139130568,27,False,True,5.4,0.6121522448526038,12,0
9.065000000000001,47,True,False,9.4,0.5081079071782064,19,0
-8.716138809367383,22,False,True,4.4,0.7617955786723947,4,0
9.065000000000001,47,True,False,9.4,0.484365506364601,20,0
8.338567933906837,52,True,False,10.4,0.5311716876891582,22,0
8.71642824230069,46,True,False,9.2,0.6346696202768232,33,0
8.618228417670808,45,True,False,9.0,0.5369095099874156,33,0
-8.347693749984593,29,False,True,5.8,0.5672689617630534,5,0
-7.876402491700411,28,False,True,5.6,0.6247651157759666,11,0
8.66,38,True,False,7.6,0.5007548033928677,33,0
-7.9176691288077805,23,False,True,4.6,0.399082936290709,8,0
8.93,44,True,False,8.8,0.504679093728399,14,0
8.93,44,True,False,8.8,0.4582176806015646,23,0
-8.51060966525865,35,False,True,7.0,1.012117188045233,9,0
8.188101236430734,55,True,False,11.0,0.5854953524695268,37,0
8.168730701434713,56,True,False,11.2,0.4861641691603577,38,0
9.155000000000001,49,True,False,9.8,0.8224745944754295,7,0
8.817594952554444,44,True,False,8.8,0.4853566918097487,16,0
8.885,43,True,False,8.6,0.5246767485671943,20,0
8.705,39,True,False,7.8,0.48222574765907555,17,0
-8.626019062962614,35,False,True,7.0,0.5982447679715513,18,0
-8.250092335832568,20,False,True,4.0,0.8405236139965557,5,0
-7.7191110057338035,27,False,True,5.4,0.4968295723210801,14,0
-8.57012432441622,16,False,True,3.2,0.48438693571344016,7,0
-7.517907793108662,27,False,True,5.4,0.4916220585463028,19,0
-7.804305476153182,24,False,True,4.8,0.45475223899052375,9,0
8.885000000000002,43,True,False,8.6,0.553226263747362,23,0
8.802086622799692,46,True,False,9.2,0.9259638718072922,18,0
-5.861736570270589,48,False,True,9.6,0.4596366395720702,22,0
9.11,48,True,False,9.6,0.467129552594557,36,0
9.02,46,True,False,9.2,0.6915993739454411,16,0
9.11,48,True,False,9.6,0.5015033649470831,18,0
-7.7621143976773785,26,False,True,5.2,0.36529954138562976,9,0
8.84,42,True,False,8.4,0.49903098298283805,22,0
8.625907934202068,44,True,False,8.8,0.4575450039873844,19,0
-7.406179964353383,30,False,True,6.0,0.4701428769999261,6,0
-8.032243385084508,23,False,True,4.6,0.3418745753415656,7,0
9.11,48,True,False,9.6,0.4944816512582154,21,0
-7.614754616174065,28,False,True,5.6,0.42060150113494044,10,0
8.885,43,True,False,8.6,0.7483391342282888,23,0
-7.400205714841702,30,False,True,6.0,0.5060338086035014,18,0
8.908062883137806,46,True,False,9.2,0.45436720379119816,19,0
-7.912149949460638,24,False,True,4.8,0.4413152063443514,6,0
8.420547042646074,42,True,False,8.4,0.46176375097790145,16,0
-8.064959107621517,26,False,True,5.2,0.8645694686880468,8,0
8.884999999999998,43,True,False,8.6,0.5065213962003994,25,0
9.2,50,True,False,10.0,0.6493616711175493,14,0
8.827580194339768,44,True,False,8.8,0.4858198692949249,24,0
9.042647166864477,49,True,False,9.8,0.607398040103861,22,0
8.705179508008658,44,True,False,8.8,0.6109525932160621,23,0
8.457715041223459,48,True,False,9.6,0.48850436038226025,24,0
8.885,43,True,False,8.6,0.5708062241476884,20,0
9.245,51,True,False,10.2,0.7186116536911565,16,0
-7.69716521294232,28,False,True,5.6,0.6737681978327473,10,0
-8.464584388625335,17,False,True,3.4,0.6469310585015108,7,0
