reward,length,success,collision,travel_time,min_ttc,unsafe_ttc_events,safety_interventions
8.110971680185765,65,True,False,13.0,0.5807186539541681,17,0
9.065000000000001,47,True,False,9.4,0.508409371793972,14,0
-8.097683619432424,42,False,True,8.4,0.4697400559133799,7,0
8.658797007115536,49,True,False,9.8,0.48680314408488573,17,0
8.517173130653727,43,True,False,8.6,0.5287842910079393,27,0
8.84,42,True,False,8.4,0.5542193792491791,18,0
8.470982752627515,62,True,False,12.4,0.5101576004054477,31,0
-8.91353592473862,33,False,True,6.6,0.623440082633948,13,0
8.23730832779796,50,True,False,10.0,0.478254071547522,26,0
8.47901318920118,67,True,False,13.4,0.5447779604771392,16,0
8.41795955887975,79,True,False,15.8,0.4995056289408933,35,0
9.02,46,True,False,9.2,1.0845872421599503,13,0
8.1414489031031,56,True,False,11.2,0.5461081313613894,28,0
8.837787698441357,53,True,False,10.6,0.44161467821708034,21,0
8.041284445803461,70,True,False,14.0,0.5639521291431615,32,0
8.885,43,True,False,8.6,0.5816934550991498,19,0
8.84,42,True,False,8.4,0.48468619187724277,13,0
8.930000000000001,44,True,False,8.8,0.5621512022946291,22,0
-8.830453119190548,41,False,True,8.2,0.45722965323717607,5,0
8.199429462184412,86,True,False,17.2,0.5399677028510551,29,0
7.636432726281479,80,True,False,16.0,0.5542659033561831,25,0
7.774225773456788,60,True,False,12.0,0.6316577904700487,24,0
8.804769723979263,46,True,False,9.2,0.5431406115230263,15,0
-8.988968553999944,33,False,True,6.6,1.0640936125441196,7,0
8.801512358448685,43,True,False,8.6,1.194505663171635,6,0
8.357222155011552,48,True,False,9.6,0.4830333358311127,18,0
-8.946081172333667,40,False,True,8.0,0.6198041582100516,16,0
8.370976365388575,55,True,False,11.0,0.4276589604302151,18,0
8.394691004183342,67,True,False,13.4,0.5787723196254017,21,0
-8.417565448885954,29,False,True,5.8,0.7658216714790802,11,0
9.065000000000001,47,True,False,9.4,0.5081079071782064,19,0
7.973640610978551,79,True,False,15.8,0.55139153558568,21,0
9.065000000000001,47,True,False,9.4,0.484365506364601,20,0
8.736597507223856,48,True,False,9.6,0.4965494980526069,21,0
8.556512398160969,52,True,False,10.4,0.6849324577436722,37,0
8.714770304500577,44,True,False,8.8,0.513609277870543,31,0
8.414628399178113,63,True,False,12.6,0.4802464445177792,19,0
8.314291847195548,55,True,False,11.0,0.46714425839516044,23,0
-8.146029727725619,24,False,True,4.8,0.7452473258209712,21,0
8.349074243271044,55,True,False,11.0,0.5190819132519153,18,0
8.93,44,True,False,8.8,0.504679093728399,14,0
-8.116827835249207,72,False,True,14.4,0.4582176806015646,18,0
-9.0074081188504,48,False,True,9.6,0.9702316575162957,10,0
8.271113042633605,63,True,False,12.6,0.48620380703981997,36,0
-8.81206258334192,54,False,True,10.8,0.5715746781046104,19,0
8.795166090815293,52,True,False,10.4,0.5976793730158806,8,0
8.51413651703868,52,True,False,10.4,0.5095702165335912,17,0
8.885,43,True,False,8.6,0.5246767485671943,20,0
8.705,39,True,False,7.8,0.48222574765907555,17,0
7.670973397357576,76,True,False,15.2,0.6055933391832704,27,0
0.2865166689396028,151,False,False,30.2,0.8055376128004144,6,0
7.762165363102053,77,True,False,15.4,0.632478530344668,36,0
-9.308850205259322,51,False,True,10.2,0.6346043967929533,17,0
8.307240967706996,50,True,False,10.0,0.48019104103404875,20,0
8.116753791693164,54,True,False,10.8,0.5017681853884269,14,0
8.219797462156002,72,True,False,14.4,0.47943468610378204,32,0
8.56151239816097,51,True,False,10.2,0.7266242707036652,19,0
8.548337332049378,56,True,False,11.2,0.5910997794739375,28,0
9.11,48,True,False,9.6,0.467129552594557,36,0
8.90765087423157,46,True,False,9.2,0.6908222051354005,15,0
9.11,48,True,False,9.6,0.5015033649470831,18,0
8.594246533790884,56,True,False,11.2,0.4979556842676305,30,0
-8.435806117027157,42,False,True,8.4,0.8368840046020151,21,0
8.885,43,True,False,8.6,0.46766372440741627,18,0
-7.406179964353383,30,False,True,6.0,0.4701428769999261,6,0
-8.180880374648835,23,False,True,4.6,0.5142700480492055,7,0
-7.9404715388956,50,False,True,10.0,0.5784627430927745,11,0
8.551602883654823,57,True,False,11.4,0.5250904273574959,14,0
8.885,43,True,False,8.6,0.7483391342282888,23,0
-8.360407013159499,45,False,True,9.0,0.6221807954934816,28,0
8.907710724055747,46,True,False,9.2,0.44720472466172273,18,0
-7.911948759538374,40,False,True,8.0,0.5058037786692086,17,0
-9.09553800986983,35,False,True,7.0,0.6219004913467464,7,0
-8.485483109583651,51,False,True,10.2,0.665274397771026,6,0
8.884999999999998,43,True,False,8.6,0.5065213962003994,25,0
8.592210261693587,69,True,False,13.8,0.5578193796064337,17,0
-8.724657242974482,59,False,True,11.8,0.8934599343458054,19,0
-7.72078629322497,51,False,True,10.2,0.8010037369636038,8,0
8.885,43,True,False,8.6,0.5638222782254472,24,0
8.533609732932325,50,True,False,10.0,0.4768142957531949,24,0
7.852850895818266,57,True,False,11.4,0.5572078717044427,18,0
-7.923492568859096,40,False,True,8.0,0.6023959017319046,10,0
8.455031724885249,56,True,False,11.2,0.4647740621792155,16,0
-9.091642389542475,58,False,True,11.6,0.7270100645419649,6,0
8.090272949538551,63,True,False,12.6,0.4667334910920027,40,0
9.02,46,True,False,9.2,0.5322135454403074,21,0
8.591512382538767,55,True,False,11.0,0.7692496585764743,16,0
7.858146458380013,77,True,False,15.4,0.5680012471315506,39,0
9.02,46,True,False,9.2,0.5336223987627635,31,0
8.93,44,True,False,8.8,0.5277142311921057,32,0
7.955616762798339,66,True,False,13.2,0.5497823229541169,13,0
9.11,48,True,False,9.6,0.7410600734977556,13,0
8.930000000000001,44,True,False,8.8,1.3347021013583935,4,0
7.667489437275416,60,True,False,12.0,0.583305100331986,27,0
9.065000000000001,47,True,False,9.4,0.4521978030533883,10,0
8.283028852284447,43,True,False,8.6,0.5254291246102974,33,0
-8.660833763016687,37,False,True,7.4,0.5371933798695454,14,0
-8.384997860792689,51,False,True,10.2,0.5913006385522527,11,0
-8.29650516349334,37,False,True,7.4,0.5455570351878628,25,0
-8.748785144785058,53,False,True,10.6,0.5136723227704791,21,0
8.448883901576222,49,True,False,9.8,0.49006265005216304,22,0
7.913976120651299,71,True,False,14.2,0.5376472393957752,29,0
-8.062386660915193,50,False,True,10.0,0.46176473573947313,7,0
8.600679913626086,53,True,False,10.6,0.45812691236212266,14,0
8.626001876888669,44,True,False,8.8,0.4714788814248399,22,0
8.975,45,True,False,9.0,0.4386893063529392,16,0
7.997771599823709,68,True,False,13.6,0.5546282159946818,35,0
8.84,42,True,False,8.4,0.7968476130115746,16,0
8.571781970748393,62,True,False,12.4,0.5193913120421956,16,0
-8.771214397429372,63,False,True,12.6,1.289880907326674,15,0
8.543098352212898,58,True,False,11.6,0.43849888911543056,18,0
8.79256664894307,52,True,False,10.4,0.4890643032161467,21,0
8.156410864510535,75,True,False,15.0,0.5947143145107003,18,0
8.774223921656676,43,True,False,8.6,0.4395070865716019,16,0
8.930000000000001,44,True,False,8.8,1.7116445005226018,6,0
8.863710769702681,45,True,False,9.0,0.8482187604498171,22,0
8.233284177463785,49,True,False,9.8,0.45878779484235827,23,0
8.93,44,True,False,8.8,0.5956788223738271,34,0
-8.938518353311697,47,False,True,9.4,0.6964159803403197,7,0
-7.52975938800261,30,False,True,6.0,0.9537429321740986,12,0
8.10073450462598,66,True,False,13.2,0.48819145306071215,43,0
8.526006896589617,47,True,False,9.4,0.6291484398403818,33,0
8.645748961474625,67,True,False,13.4,0.4973981135533283,24,0
8.369174186102343,53,True,False,10.6,0.4223026946238467,17,0
8.162359755041832,55,True,False,11.0,0.6158303257946453,19,0
-8.949035934916052,32,False,True,6.4,0.5814681476284737,6,0
8.937480264850437,49,True,False,9.8,0.48476569869042513,38,0
8.75,40,True,False,8.0,0.9593125958924371,10,0
8.438641043520285,53,True,False,10.6,0.6202998607273577,8,0
-8.047895280925406,26,False,True,5.2,0.4938771536805714,20,0
-8.360641793165657,44,False,True,8.8,0.5756058428003353,9,0
-9.21379681327767,55,False,True,11.0,0.6131681888142616,4,0
-9.002068801044468,65,False,True,13.0,0.8005741761660011,4,0
-8.287106386525679,46,False,True,9.2,0.6332248700944296,7,0
8.93,44,True,False,8.8,0.4795137664147506,23,0
8.802107358619336,46,True,False,9.2,1.3996343478932904,9,0
7.8677963503474615,64,True,False,12.8,0.6598070485741004,16,0
7.548235469168728,69,True,False,13.8,0.5675314773052774,11,0
7.925429930464718,69,True,False,13.8,0.5463485610077043,30,0
0.3142205109518775,151,False,False,30.2,2.677917659337925,0,0
8.291037330603686,59,True,False,11.8,1.2264179420004115,18,0
8.245016446288764,58,True,False,11.6,0.5167961990335961,34,0
8.373025711572078,45,True,False,9.0,0.4692517526042887,29,0
8.816212426296968,63,True,False,12.6,0.519214997066522,27,0
8.930000000000001,44,True,False,8.8,0.4771017638444601,9,0
9.02,46,True,False,9.2,0.5262057297516103,21,0
8.015746879064853,93,True,False,18.6,0.5924280656866563,24,0
8.975,45,True,False,9.0,0.7286590606313504,14,0
8.237926630681194,81,True,False,16.2,0.5240397719895321,40,0
-7.444207503105064,30,False,True,6.0,0.5326330689690197,11,0
-7.914322229432525,45,False,True,9.0,0.47780167029324355,12,0
7.553576689967804,68,True,False,13.6,0.45117231685063325,32,0
8.705,39,True,False,7.8,0.4209156999806437,13,0
8.579663223151975,52,True,False,10.4,0.6741811191739596,16,0
8.975,45,True,False,9.0,0.6135777513879296,26,0
-8.205678141380387,59,False,True,11.8,0.6929270286787331,4,0
-8.244304580887636,20,False,True,4.0,0.3589267137343493,7,0
8.84,42,True,False,8.4,0.5224768561824371,23,0
8.561486328176962,48,True,False,9.6,0.49876602063944075,19,0
8.975,45,True,False,9.0,0.5393140985662921,9,0
8.66,38,True,False,7.6,2.3394152488260263,0,0
-7.577224261882403,28,False,True,5.6,0.6008735619789789,12,0
-7.783184841183129,40,False,True,8.0,0.7057021848774034,9,0
8.885,43,True,False,8.6,1.856403874248026,5,0
8.524363783374874,46,True,False,9.2,0.4549828914280954,24,0
-8.793740256943757,28,False,True,5.6,0.8731087783957558,16,0
8.011174087485536,99,True,False,19.8,0.589011609673458,41,0
9.02,46,True,False,9.2,0.9683244160498382,10,0
8.538981826573764,61,True,False,12.2,0.4496406746948804,20,0
9.02,46,True,False,9.2,0.5477937804182744,28,0
8.93,44,True,False,8.8,0.4611984227282724,17,0
8.517432334057922,54,True,False,10.8,0.47366167176837665,42,0
8.7177179424528,49,True,False,9.8,0.4903155444198957,30,0
9.11,48,True,False,9.6,0.48769059893008765,18,0
7.8469448948385345,58,True,False,11.6,0.7039534639108709,14,0
8.636457504558134,52,True,False,10.4,0.5328775896334997,17,0
8.795,41,True,False,8.2,0.9840162278621652,6,0
8.167413849171806,63,True,False,12.6,0.5262675118161011,22,0
-8.836710788936767,37,False,True,7.4,0.6049367434196333,13,0
8.93,44,True,False,8.8,0.5990891611890063,20,0
-8.441942740409507,62,False,True,12.4,0.6940407994033171,6,0
-9.062024238713883,51,False,True,10.2,1.3065493142417268,4,0
-8.558918607283763,42,False,True,8.4,0.5358077041873884,10,0
8.4092836253295,55,True,False,11.0,0.44510668726746483,14,0
9.020000000000001,46,True,False,9.2,0.6092427987669182,29,0
8.84,42,True,False,8.4,0.46943956879198745,21,0
-7.864525446379334,24,False,True,4.8,0.8290601177788762,16,0
9.11,48,True,False,9.6,0.46865731144677847,10,0
8.795,41,True,False,8.2,0.514258035404171,20,0
8.885,43,True,False,8.6,0.5806625072124276,27,0
7.083767508624764,104,True,False,20.8,0.8274667520286942,41,0
8.975000000000001,45,True,False,9.0,0.5958948457350386,18,0
-8.773815720165327,57,False,True,11.4,0.5304910623839804,16,0
8.558840221693815,53,True,False,10.6,0.5040321575283309,11,0
-8.855909098931612,45,False,True,9.0,0.526543815154807,20,0
8.43407128162129,56,True,False,11.2,0.5003263462550807,24,0
8.052941930781703,77,True,False,15.4,0.5090461380537018,25,0
-8.378984480530294,28,False,True,5.6,0.44764936802740063,7,0
8.84,42,True,False,8.4,0.6024580137524628,15,0
8.509236455930216,57,True,False,11.4,0.5470178405668874,30,0
8.126606196341902,59,True,False,11.8,0.5581331442019789,25,0
-8.32475436747288,46,False,True,9.2,0.4557149367366613,5,0
8.450792927143212,57,True,False,11.4,0.4648147594078541,27,0
8.93,44,True,False,8.8,0.8036281358822137,7,0
8.346287116920848,57,True,False,11.4,0.42928655567478996,23,0
8.704999999999998,39,True,False,7.8,0.5481905303326179,8,0
8.681512371566797,47,True,False,9.4,0.4739654105463947,25,0
8.322529069199042,45,True,False,9.0,1.276968271113912,10,0
8.224420452147864,54,True,False,10.8,0.4208023303840675,21,0
9.065000000000001,47,True,False,9.4,0.4484118660709285,27,0
8.30948051956097,54,True,False,10.8,0.4824505556414773,22,0
-7.397888390790211,29,False,True,5.8,0.4202584285172393,9,0
8.646257720799685,46,True,False,9.2,0.48412888716156305,8,0
8.276228841273724,71,True,False,14.2,0.5098905730015981,20,0
7.968670443944032,48,True,False,9.6,0.56005860307674,22,0
8.975,45,True,False,9.0,0.6303116456123682,15,0
9.11,48,True,False,9.6,1.2348881715199764,7,0
8.44608522078882,57,True,False,11.4,0.4425906197470835,22,0
8.807044674262109,51,True,False,10.2,0.5589109089013735,29,0
0.5770095947351153,151,False,False,30.2,1.7099774487455455,2,0
8.562050183167598,55,True,False,11.0,0.5311129469096928,13,0
8.885,43,True,False,8.6,0.4758719151673648,27,0
8.156658839630374,46,True,False,9.2,0.5036172521341228,31,0
-8.828000284102863,65,False,True,13.0,1.305814397747058,9,0
8.885,43,True,False,8.6,0.4641446008771375,21,0
8.84,42,True,False,8.4,0.6090316454553432,17,0
8.56597030812895,54,True,False,10.8,0.4565044027097922,36,0
8.84,42,True,False,8.4,0.5496577733453184,18,0
9.132523753169895,51,True,False,10.2,0.5199498147586735,30,0
-8.752472366402417,43,False,True,8.6,0.6876513563882084,11,0
8.229919360732902,71,True,False,14.2,0.4469305978078374,24,0
8.551195409659996,56,True,False,11.2,0.466280893528903,13,0
8.155926629947036,56,True,False,11.2,0.6851812022228689,30,0
8.10217027554369,48,True,False,9.6,0.7011937186874354,27,0
-8.668788640155707,51,False,True,10.2,0.6835192537257406,5,0
8.75,40,True,False,8.0,0.5441538420244955,17,0
7.888629050055541,60,True,False,12.0,0.6983505427612989,12,0
-8.615791652336268,51,False,True,10.2,0.4277455924130351,19,0
9.056486178395861,48,True,False,9.6,0.4362276973736397,33,0
8.486197313353525,70,True,False,14.0,0.5076266321059195,28,0
9.065000000000001,47,True,False,9.4,0.46916571332652895,23,0
8.010147180374545,63,True,False,12.6,0.5040654998795487,22,0
